relpath,bytes,mtime,crc32
case_pack_assets/20250812_215509.jpg,8742729,1770585858,3179b1ec
case_pack_assets/20250812_215733.jpg,8480353,1770585858,3ebc9b0a
case_pack_assets/Pigors_Transcript.pdf,334799,1770585859,9eb55e52
metrics_v3_3/bloom_heading_level_counts.csv,43,1770585864,e14f9d19
metrics_v3_3/bloom_toc_excerpt_250.csv,10859,1770585864,6144587b
metrics_v3_3/bloom_toc_full.csv,177430,1770585864,6aa98d5e
metrics_v3_3/contradiction_status_counts.csv,22,1770585865,b96c1376
metrics_v3_3/contradiction_type_counts.csv,43,1770585865,250a2175
metrics_v3_3/edge_coverage.csv,226,1770585865,d92677fc
metrics_v3_3/edge_tail_buckets.csv,518,1770585865,d15fe664
metrics_v3_3/exparte_image_metadata.csv,361,1770585865,0fae8284
metrics_v3_3/graphml_edge_type_counts.csv,2223,1770585863,e8daa611
metrics_v3_3/graphml_kind_counts.csv,2212,1770585863,daa72716
metrics_v3_3/graphml_tag_token_counts.csv,149,1770585863,66a324fd
metrics_v3_3/kind_coverage.csv,223,1770585865,b7caf56e
metrics_v3_3/kind_tail_buckets.csv,534,1770585865,8ea400c4
metrics_v3_3/kind_type_crosswalk_candidates.csv,2080,1770585864,f066c7e0
metrics_v3_3/neo4j_import_snippets.cypher,937,1770585865,cd5ef98c
metrics_v3_3/nodes_normalized_propertykey_freq_sample.csv,605,1770585864,77480ec9
metrics_v3_3/nodes_normalized_propertykey_freq_sample_meta.json,39,1770585864,4a346ee6
metrics_v3_3/nodes_normalized_type_counts.csv,673,1770585864,3b0d5df3
metrics_v3_3/run_summary.json,876,1770585872,e49b5310
metrics_v3_3/transcript_candidate_lines.csv,964,1770585865,e30acfc3
metrics_v3_3/transcript_case_candidates.csv,43,1770585865,3e7be46e
metrics_v3_3/transcript_date_candidates.csv,1,1770585865,32d70693
metrics_v3_3/transcript_fulltext.txt,5990,1770585865,87fbec44
metrics_v3_3/transcript_keyword_hits.csv,403,1770585865,4eca9abc
metrics_v3_3/transcript_metadata.json,1049,1770585865,61205178
metrics_v3_3/transcript_name_candidates.csv,510,1770585865,74221b97
metrics_v3_3/zip_inventory.csv,507,1770585859,b0bd9279
unpack/Emily_ExParte_Attachments/20250812_215509.jpg,8742729,1770585858,3179b1ec
unpack/Emily_ExParte_Attachments/20250812_215733.jpg,8480353,1770585858,3ebc9b0a
unpack/MEEK2_CUSTODY_LITIGATION_PACK/Emily_ExParte_Attachments.zip,17226286,1770585859,ba7d95cf
unpack/MEEK2_CUSTODY_LITIGATION_PACK/Pigors_Transcript.pdf,334799,1770585859,9eb55e52
unpack/MEEK2_CUSTODY_LITIGATION_PACK/_nested_Emily_ExParte_Attachments/20250812_215509.jpg,8742729,1770585859,3179b1ec
unpack/MEEK2_CUSTODY_LITIGATION_PACK/_nested_Emily_ExParte_Attachments/20250812_215733.jpg,8480353,1770585859,3ebc9b0a
